
번호	한국어	일본어	영어	프랑스어	독일어	중국어	스페인어	이탈리아어
0557	돌살이	イシズマイ	Dwebble	Crabicoque	Lithomith	石居蟹	Dwebble	Dwebble
0558	암팰리스	イワパレス	Crustle	Crabaraque	Castellith	岩殿居蟹	Crustle	Crustle
0559	곤율랭	ズルッグ	Scraggy	Baggiguane	Zurrokex	滑滑小子	Scraggy	Scraggy
0560	곤율거니	ズルズキン	Scrafty	Baggaïd	Irokex	頭巾混混	Scrafty	Scrafty
0561	심보러	シンボラー	Sigilyph	Cryptéro	Symvolara	象徵鳥	Sigilyph	Sigilyph
0562	데스마스	デスマス	Yamask	Tutafeh	Makabaja	哭哭面具	Yamask	Yamask
0563	데스니칸	デスカーン	Cofagrigus	Tutankafer	Echnatoll	死神棺	Cofagrigus	Cofagrigus
0564	프로토가	プロトーガ	Tirtouga	Carapagos	Galapaflos	原蓋海龜	Tirtouga	Tirtouga
0565	늑골라	アバゴーラ	Carracosta	Mégapagos	Karippas	肋骨海龜	Carracosta	Carracosta
0566	아켄	アーケン	Archen	Arkéapti	Flapteryx	始祖小鳥	Archen	Archen
0567	아케오스	アーケオス	Archeops	Aéroptéryx	Aeropteryx	始祖大鳥	Archeops	Archeops
0568	깨봉이	ヤブクロン	Trubbish	Miamiasme	Unratütox	破破袋	Trubbish	Trubbish
0569	더스트나	ダストダス	Garbodor	Miasmax	Deponitox	灰塵山	Garbodor	Garbodor
0570	조로아	ゾロア	Zorua	Zorua	Zorua	索羅亞	Zorua	Zorua
0571	조로아크	ゾロアーク	Zoroark	Zoroark	Zoroark	索羅亞克	Zoroark	Zoroark
0572	치라미	チラーミィ	Minccino	Chinchidou	Picochilla	泡沫栗鼠	Minccino	Minccino
0573	치라치노	チラチーノ	Cinccino	Pashmilla	Chillabell	奇諾栗鼠	Cinccino	Cinccino
0574	고디탱	ゴチム	Gothita	Scrutella	Mollimorba	哥德寶寶	Gothita	Gothita
0575	고디보미	ゴチミル	Gothorita	Mesmérella	Hypnomorba	哥德小童	Gothorita	Gothorita
0576	고디모아젤	ゴチルゼル	Gothitelle	Sidérella	Morbitesse	哥德小姐	Gothitelle	Gothitelle
0577	유니란	ユニラン	Solosis	Nucléos	Monozyto	單卵細胞球	Solosis	Solosis
0578	듀란	ダブラン	Duosion	Méios	Mitodos	雙卵細胞球	Duosion	Duosion
0579	란쿨루스	ランクルス	Reuniclus	Symbios	Zytomega	人造細胞卵	Reuniclus	Reuniclus
0580	꼬지보리	コアルヒー	Ducklett	Couaneton	Piccolente	鴨寶寶	Ducklett	Ducklett
0581	스완나	スワンナ	Swanna	Lakmécygne	Swaroness	舞天鵝	Swanna	Swanna
0582	바닐프티	バニプッチ	Vanillite	Sorbébé	Gelatini	迷你冰	Vanillite	Vanillite
0583	바닐리치	バニリッチ	Vanillish	Sorboul	Gelatroppo	多多冰	Vanillish	Vanillish
0584	배바닐라	バイバニラ	Vanilluxe	Sorbouboul	Gelatwino	雙倍多多冰	Vanilluxe	Vanilluxe
0585	사철록	シキジカ	Deerling	Vivaldaim	Sesokitz	四季鹿	Deerling	Deerling
0586	바라철록	メブキジカ	Sawsbuck	Haydaim	Kronjuwild	萌芽鹿	Sawsbuck	Sawsbuck
0587	에몽가	エモンガ	Emolga	Emolga	Emolga	電飛鼠	Emolga	Emolga
0588	딱정곤	カブルモ	Karrablast	Carabing	Laukaps	蓋蓋蟲	Karrablast	Karrablast
0589	슈바르고	シュバルゴ	Escavalier	Lançargot	Cavalanzas	騎士蝸牛	Escavalier	Escavalier
0590	깜놀버슬	タマゲタケ	Foongus	Trompignon	Tarnpignon	哎呀球菇	Foongus	Foongus
0591	뽀록나	モロバレル	Amoonguss	Gaulet	Hutsassa	敗露球菇	Amoonguss	Amoonguss
0592	탱그릴	プルリル	Frillish	Viskuse	Quabbel	輕飄飄	Frillish	Frillish
0593	탱탱겔	ブルンゲル	Jellicent	Moyade	Apoquallyp	胖嘟嘟	Jellicent	Jellicent
0594	맘복치	ママンボウ	Alomomola	Mamanbo	Mamolida	保母曼波	Alomomola	Alomomola
0595	파쪼옥	バチュル	Joltik	Statitik	Wattzapf	電電蟲	Joltik	Joltik
0596	전툴라	デンチュラ	Galvantula	Mygavolt	Voltula	電蜘蛛	Galvantula	Galvantula
0597	철시드	テッシード	Ferroseed	Grindur	Kastadur	種子鐵球	Ferroseed	Ferroseed
0598	너트령	ナットレイ	Ferrothorn	Noacier	Tentantel	堅果啞鈴	Ferrothorn	Ferrothorn
0599	기어르	ギアル	Klink	Tic	Klikk	齒輪兒	Klink	Klink
0600	기기어르	ギギアル	Klang	Clic	Kliklak	齒輪組	Klang	Klang
0601	기기기어르	ギギギアル	Klinklang	Cliticlic	Klikdiklak	齒輪怪	Klinklang	Klinklang
0602	저리어	シビシラス	Tynamo	Anchwatt	Zapplardin	麻麻小魚	Tynamo	Tynamo
0603	저리릴	シビビール	Eelektrik	Lampéroie	Zapplalek	麻麻鰻	Eelektrik	Eelektrik
0604	저리더프	シビルドン	Eelektross	Ohmassacre	Zapplarang	麻麻鰻魚王	Eelektross	Eelektross
0605	리그레	リグレー	Elgyem	Lewsor	Pygraulon	小灰怪	Elgyem	Elgyem
0606	벰크	オーベム	Beheeyem	Neitram	Megalon	大宇怪	Beheeyem	Beheeyem
0607	불켜미	ヒトモシ	Litwick	Funécire	Lichtel	燭光靈	Litwick	Litwick
0608	램프라	ランプラー	Lampent	Mélancolux	Laternecto	燈火幽靈	Lampent	Lampent
0609	샹델라	シャンデラ	Chandelure	Lugulabre	Skelabra	水晶燈火靈	Chandelure	Chandelure
0610	터검니	キバゴ	Axew	Coupenotte	Milza	牙牙	Axew	Axew
0611	액슨도	オノンド	Fraxure	Incisache	Sharfax	斧牙龍	Fraxure	Fraxure
0612	액스라이즈	オノノクス	Haxorus	Tranchodon	Maxax	雙斧戰龍	Haxorus	Haxorus
0613	코고미	クマシュン	Cubchoo	Polarhume	Petznief	噴嚏熊	Cubchoo	Cubchoo
0614	툰베어	ツンベアー	Beartic	Polagriffe	Siberio	凍原熊	Beartic	Beartic
0615	프리지오	フリージオ	Cryogonal	Hexagel	Frigometri	幾何雪花	Cryogonal	Cryogonal
0616	쪼마리	チョボマキ	Shelmet	Escargaume	Schnuthelm	小嘴蝸	Shelmet	Shelmet
0617	어지리더	アギルダー	Accelgor	Limaspeed	Hydragil	敏捷蟲	Accelgor	Accelgor
0618	메더	マッギョ	Stunfisk	Limonde	Flunschlik	泥巴魚	Stunfisk	Stunfisk
0619	비조푸	コジョフー	Mienfoo	Kungfouine	Lin-Fu	功夫鼬	Mienfoo	Mienfoo
0620	비조도	コジョンド	Mienshao	Shaofouine	Wie-Shu	師父鼬	Mienshao	Mienshao
0621	크리만	クリムガン	Druddigon	Drakkarmin	Shardrago	赤面龍	Druddigon	Druddigon
0622	골비람	ゴビット	Golett	Gringolem	Golbit	泥偶小人	Golett	Golett
0623	골루그	ゴルーグ	Golurk	Golemastoc	Golgantes	泥偶巨人	Golurk	Golurk
0624	자망칼	コマタナ	Pawniard	Scalpion	Gladiantri	駒刀小兵	Pawniard	Pawniard
0625	절각참	キリキザン	Bisharp	Scalproie	Caesurio	劈斬司令	Bisharp	Bisharp
0626	버프론	バッフロン	Bouffalant	Frison	Bisofank	爆炸頭水牛	Bouffalant	Bouffalant
0627	수리둥보	ワシボン	Rufflet	Furaiglon	Geronimatz	毛頭小鷹	Rufflet	Rufflet
0628	워글	ウォーグル	Braviary	Gueriaigle	Washakwil	勇士雄鷹	Braviary	Braviary
0629	벌차이	バルチャイ	Vullaby	Vostourno	Skallyk	禿鷹丫頭	Vullaby	Vullaby
0630	버랜지나	バルジーナ	Mandibuzz	Vaututrice	Grypheldis	禿鷹娜	Mandibuzz	Mandibuzz
0631	앤티골	クイタラン	Heatmor	Aflamanoir	Furnifraß	熔蟻獸	Heatmor	Heatmor
0632	아이앤트	アイアント	Durant	Fermite	Fermicula	鐵蟻	Durant	Durant
0633	모노두	モノズ	Deino	Solochi	Kapuno	單首龍	Deino	Deino
0634	디헤드	ジヘッド	Zweilous	Diamat	Duodino	雙首暴龍	Zweilous	Zweilous
0635	삼삼드래	サザンドラ	Hydreigon	Trioxhydre	Trikephalo	三首惡龍	Hydreigon	Hydreigon
0636	활화르바	メラルバ	Larvesta	Pyronille	Ignivor	燃燒蟲	Larvesta	Larvesta
0637	불카모스	ウルガモス	Volcarona	Pyrax	Ramoth	火神蛾	Volcarona	Volcarona
0638	코바르온	コバルオン	Cobalion	Cobaltium	Kobalium	勾帕路翁	Cobalion	Cobalion
0639	테라키온	テラキオン	Terrakion	Terrakium	Terrakium	代拉基翁	Terrakion	Terrakion
0640	비리디온	ビリジオン	Virizion	Viridium	Viridium	畢力吉翁	Virizion	Virizion
0641	토네로스	トルネロス	Tornadus	Boréas	Boreos	龍捲雲	Tornadus	Tornadus
0642	볼트로스	ボルトロス	Thundurus	Fulguris	Voltolos	雷電雲	Thundurus	Thundurus
0643	레시라무	レシラム	Reshiram	Reshiram	Reshiram	萊希拉姆	Reshiram	Reshiram
0644	제크로무	ゼクロム	Zekrom	Zekrom	Zekrom	捷克羅姆	Zekrom	Zekrom
0645	랜드로스	ランドロス	Landorus	Démétéros	Demeteros	土地雲	Landorus	Landorus
0646	큐레무	キュレム	Kyurem	Kyurem	Kyurem	酋雷姆	Kyurem	Kyurem
0647	케르디오	ケルディオ	Keldeo	Keldeo	Keldeo	凱路迪歐	Keldeo	Keldeo
0648	메로엣타	メロエッタ	Meloetta	Meloetta	Meloetta	美洛耶塔	Meloetta	Meloetta
0649	게노세크트	ゲノセクト	Genesect	Genesect	Genesect	蓋諾賽克特	Genesect	Genesect
0650	도치마론	ハリマロン	Chespin	Marisson	Igamaro	哈力栗	Chespin	Chespin
0651	도치보구	ハリボーグ	Quilladin	Boguérisse	Igastarnish	胖胖哈力	Quilladin	Quilladin
0652	브리가론	ブリガロン	Chesnaught	Blindépique	Brigaron	布里卡隆	Chesnaught	Chesnaught
0653	푸호꼬	フォッコ	Fennekin	Feunnec	Fynx	火狐狸	Fennekin	Fennekin
0654	테르나	テールナー	Braixen	Roussil	Rutena	長尾火狐	Braixen	Braixen
0655	마폭시	マフォクシー	Delphox	Goupelin	Fennexis	妖火紅狐	Delphox	Delphox
0656	개구마르	ケロマツ	Froakie	Grenousse	Froxy	呱呱泡蛙	Froakie	Froakie
0657	개굴반장	ゲコガシラ	Frogadier	Croâporal	Amphizel	呱頭蛙	Frogadier	Frogadier
0658	개굴닌자	ゲッコウガ	Greninja	Amphinobi	Quajutsu	甲賀忍蛙	Greninja	Greninja
0659	파르빗	ホルビー	Bunnelby	Sapereau	Scoppel	掘掘兔	Bunnelby	Bunnelby
0660	파르토	ホルード	Diggersby	Excavarenne	Grebbit	掘地兔	Diggersby	Diggersby
0661	화살꼬빈	ヤヤコマ	Fletchling	Passerouge	Dartiri	小箭雀	Fletchling	Fletchling
0662	불화살빈	ヒノヤコマ	Fletchinder	Braisillon	Dartignis	火箭雀	Fletchinder	Fletchinder
0663	파이어로	ファイアロー	Talonflame	Flambusard	Fiaro	烈箭鷹	Talonflame	Talonflame
0664	분이벌레	コフキムシ	Scatterbug	Lépidonille	Purmel	粉蝶蟲	Scatterbug	Scatterbug
0665	분떠도리	コフーライ	Spewpa	Pérégrain	Puponcho	粉蝶蛹	Spewpa	Spewpa
0666	비비용	ビビヨン	Vivillon	Prismillon	Vivillon	彩粉蝶	Vivillon	Vivillon
0667	레오꼬	シシコ	Litleo	Hélionceau	Leufeo	小獅獅	Litleo	Litleo
0668	화염레오	カエンジシ	Pyroar	Némélios	Pyroleo	火炎獅	Pyroar	Pyroar
0669	플라베베	フラベベ	Flabébé	Flabébé	Flabébé	花蓓蓓	Flabébé	Flabébé
0670	플라엣테	フラエッテ	Floette	Floette	Floette	花葉蒂	Floette	Floette
0671	플라제스	フラージェス	Florges	Florges	Florges	花潔夫人	Florges	Florges
0672	메이클	メェークル	Skiddo	Cabriolaine	Mähikel	坐騎小羊	Skiddo	Skiddo
0673	고고트	ゴーゴート	Gogoat	Chevroum	Chevrumm	坐騎山羊	Gogoat	Gogoat
0674	판짱	ヤンチャム	Pancham	Pandespiègle	Pam-Pam	頑皮熊貓	Pancham	Pancham
0675	부란다	ゴロンダ	Pangoro	Pandarbare	Pandagro	流氓熊貓	Pangoro	Pangoro
0676	트리미앙	トリミアン	Furfrou	Couafarel	Coiffwaff	多麗米亞	Furfrou	Furfrou
0677	냐스퍼	ニャスパー	Espurr	Psystigri	Psiau	妙喵	Espurr	Espurr
0678	냐오닉스	ニャオニクス	Meowstic	Mistigrix	Psiaugon	超能妙喵	Meowstic	Meowstic
0679	단칼빙	ヒトツキ	Honedge	Monorpale	Gramokles	獨劍鞘	Honedge	Honedge
0680	쌍검킬	ニダンギル	Doublade	Dimoclès	Duokles	雙劍鞘	Doublade	Doublade
0681	킬가르도	ギルガルド	Aegislash	Exagide	Durengard	堅盾劍怪	Aegislash	Aegislash
0682	슈쁘	シュシュプ	Spritzee	Fluvetin	Parfi	粉香香	Spritzee	Spritzee
0683	프레프티르	フレフワン	Aromatisse	Cocotine	Parfinesse	芳香精	Aromatisse	Aromatisse
0684	나룸퍼프	ペロッパフ	Swirlix	Sucroquin	Flauschling	綿綿泡芙	Swirlix	Swirlix
0685	나루림	ペロリーム	Slurpuff	Cupcanaille	Sabbaione	胖甜妮	Slurpuff	Slurpuff
0686	오케이징	マーイーカ	Inkay	Sepiatop	Iscalar	好啦魷	Inkay	Inkay
0687	칼라마네로	カラマネロ	Malamar	Sepiatroce	Calamanero	烏賊王	Malamar	Malamar
0688	거북손손	カメテテ	Binacle	Opermine	Bithora	龜腳腳	Binacle	Binacle
0689	거북손데스	ガメノデス	Barbaracle	Golgopathe	Thanathora	龜足巨鎧	Barbaracle	Barbaracle
0690	수레기	クズモー	Skrelp	Venalgue	Algitt	垃垃藻	Skrelp	Skrelp
0691	드래캄	ドラミドロ	Dragalge	Kravarech	Tandrak	毒藻龍	Dragalge	Dragalge
0692	완철포	ウデッポウ	Clauncher	Flingouste	Scampisto	鐵臂槍蝦	Clauncher	Clauncher
0693	블로스터	ブロスター	Clawitzer	Gamblast	Wummer	鋼炮臂蝦	Clawitzer	Clawitzer
0694	목도리키텔	エリキテル	Helioptile	Galvaran	Eguana	傘電蜥	Helioptile	Helioptile
0695	일레도리자드	エレザード	Heliolisk	Iguolta	Elezard	光電傘蜥	Heliolisk	Heliolisk
0696	티고라스	チゴラス	Tyrunt	Ptyranidur	Balgoras	寶寶暴龍	Tyrunt	Tyrunt
0697	견고라스	ガチゴラス	Tyrantrum	Rexillius	Monargoras	怪顎龍	Tyrantrum	Tyrantrum
0698	아마루스	アマルス	Amaura	Amagara	Amarino	冰雪龍	Amaura	Amaura
0699	아마루르가	アマルルガ	Aurorus	Dragmara	Amagarga	冰雪巨龍	Aurorus	Aurorus
0700	님피아	ニンフィア	Sylveon	Nymphali	Feelinara	仙子伊布	Sylveon	Sylveon
0701	루차불	ルチャブル	Hawlucha	Brutalibré	Resladero	摔角鷹人	Hawlucha	Hawlucha
0702	데덴네	デデンネ	Dedenne	Dedenne	Dedenne	咚咚鼠	Dedenne	Dedenne
0703	멜리시	メレシー	Carbink	Strassie	Rocara	小碎鑽	Carbink	Carbink
0704	미끄메라	ヌメラ	Goomy	Mucuscule	Viscora	黏黏寶	Goomy	Goomy
0705	미끄네일	ヌメイル	Sliggoo	Colimucus	Viscargot	黏美兒	Sliggoo	Sliggoo
0706	미끄래곤	ヌメルゴン	Goodra	Muplodocus	Viscogon	黏美龍	Goodra	Goodra
0707	클레피	クレッフィ	Klefki	Trousselin	Clavion	鑰圈兒	Klefki	Klefki
0708	나목령	ボクレー	Phantump	Brocélôme	Paragoni	小木靈	Phantump	Phantump
0709	대로트	オーロット	Trevenant	Desséliande	Trombork	朽木妖	Trevenant	Trevenant
0710	호바귀	バケッチャ	Pumpkaboo	Pitrouille	Irrbis	南瓜精	Pumpkaboo	Pumpkaboo
0711	펌킨인	パンプジン	Gourgeist	Banshitrouye	Pumpdjinn	南瓜怪人	Gourgeist	Gourgeist
0712	꽁어름	カチコール	Bergmite	Grelaçon	Arktip	冰寶	Bergmite	Bergmite
0713	크레베이스	クレベース	Avalugg	Séracrawl	Arktilas	冰岩怪	Avalugg	Avalugg
0714	음뱃	オンバット	Noibat	Sonistrelle	eF-eM	嗡蝠	Noibat	Noibat
0715	음번	オンバーン	Noivern	Bruyverne	UHaFnir	音波龍	Noivern	Noivern
0716	제르네아스	ゼルネアス	Xerneas	Xerneas	Xerneas	哲爾尼亞斯	Xerneas	Xerneas
0717	이벨타르	イベルタル	Yveltal	Yveltal	Yveltal	伊裴爾塔爾	Yveltal	Yveltal
0718	지가르데	ジガルデ	Zygarde	Zygarde	Zygarde	基格爾德	Zygarde	Zygarde
0719	디안시	ディアンシー	Diancie	Diancie	Diancie	蒂安希	Diancie	Diancie
0720	후파	フーパ	Hoopa	Hoopa	Hoopa	胡帕	Hoopa	Hoopa
0721	볼케니온	ボルケニオン	Volcanion	Volcanion	Volcanion	波爾凱尼恩	Volcanion	Volcanion
0722	나몰빼미	モクロー	Rowlet	Brindibou	Bauz	木木梟	Rowlet	Rowlet
0723	빼미스로우	フクスロー	Dartrix	Efflèche	Arboretoss	投羽梟	Dartrix	Dartrix
0724	모크나이퍼	ジュナイパー	Decidueye	Archéduc	Silvarro	狙射樹梟	Decidueye	Decidueye
0725	냐오불	ニャビー	Litten	Flamiaou	Flamiau	火斑喵	Litten	Litten
0726	냐오히트	ニャヒート	Torracat	Matoufeu	Miezunder	炎熱喵	Torracat	Torracat
0727	어흥염	ガオガエン	Incineroar	Félinferno	Fuegro	熾焰咆哮虎	Incineroar	Incineroar
0728	누리공	アシマリ	Popplio	Otaquin	Robball	球球海獅	Popplio	Popplio
0729	키요공	オシャマリ	Brionne	Otarlette	Marikeck	花漾海獅	Brionne	Brionne
0730	누리레느	アシレーヌ	Primarina	Oratoria	Primarene	西獅海壬	Primarina	Primarina
0731	콕코구리	ツツケラ	Pikipek	Picassaut	Peppeck	小篤兒	Pikipek	Pikipek
0732	크라파	ケララッパ	Trumbeak	Piclairon	Trompeck	喇叭啄鳥	Trumbeak	Trumbeak
0733	왕큰부리	ドデカバシ	Toucannon	Bazoucan	Tukanon	銃嘴大鳥	Toucannon	Toucannon
0734	영구스	ヤングース	Yungoos	Manglouton	Mangunior	貓鼬少	Yungoos	Yungoos
0735	형사구스	デカグース	Gumshoos	Argouste	Manguspektor	貓鼬探長	Gumshoos	Gumshoos
0736	턱지충이	アゴジムシ	Grubbin	Larvibule	Mabula	強顎雞母蟲	Grubbin	Grubbin
0737	전지충이	デンヂムシ	Charjabug	Chrysapile	Akkup	蟲電寶	Charjabug	Charjabug
0738	투구뿌논	クワガノン	Vikavolt	Lucanon	Donarion	鍬農炮蟲	Vikavolt	Vikavolt
0739	오기지게	マケンカニ	Crabrawler	Crabagarre	Krabbox	好勝蟹	Crabrawler	Crabrawler
0740	모단단게	ケケンカニ	Crabominable	Crabominable	Krawell	好勝毛蟹	Crabominable	Crabominable
0741	춤추새	オドリドリ	Oricorio	Plumeline	Choreogel	花舞鳥	Oricorio	Oricorio
0742	에블리	アブリー	Cutiefly	Bombydou	Wommel	萌虻	Cutiefly	Cutiefly
0743	에리본	アブリボン	Ribombee	Rubombelle	Bandelby	蝶結萌虻	Ribombee	Ribombee
0744	암멍이	イワンコ	Rockruff	Rocabot	Wuffels	岩狗狗	Rockruff	Rockruff
0745	루가루암	ルガルガン	Lycanroc	Lougaroc	Wolwerock	鬃岩狼人	Lycanroc	Lycanroc
0746	약어리	ヨワシ	Wishiwashi	Froussardine	Lusardin	弱丁魚	Wishiwashi	Wishiwashi
0747	시마사리	ヒドイデ	Mareanie	Vorastérie	Garstella	好壞星	Mareanie	Mareanie
0748	더시마사리	ドヒドイデ	Toxapex	Prédastérie	Aggrostella	超壞星	Toxapex	Toxapex
0749	머드나기	ドロバンコ	Mudbray	Tiboudet	Pampuli	泥驢仔	Mudbray	Mudbray
0750	만마드	バンバドロ	Mudsdale	Bourrinos	Pampross	重泥挽馬	Mudsdale	Mudsdale
0751	물거미	シズクモ	Dewpider	Araqua	Araqua	滴蛛	Dewpider	Dewpider
0752	깨비물거미	オニシズクモ	Araquanid	Tarenbulle	Aranestro	滴蛛霸	Araquanid	Araquanid
0753	짜랑랑	カリキリ	Fomantis	Mimantis	Imantis	偽螳草	Fomantis	Fomantis
0754	라란티스	ラランテス	Lurantis	Floramantis	Mantidea	蘭螳花	Lurantis	Lurantis
0755	자마슈	ネマシュ	Morelull	Spododo	Bubungus	睡睡菇	Morelull	Morelull
0756	마셰이드	マシェード	Shiinotic	Lampignon	Lamellux	燈罩夜菇	Shiinotic	Shiinotic
0757	야도뇽	ヤトウモリ	Salandit	Tritox	Molunk	夜盜火蜥	Salandit	Salandit
0758	염뉴트	エンニュート	Salazzle	Malamandre	Amfira	焰后蜥	Salazzle	Salazzle
0759	포곰곰	ヌイコグマ	Stufful	Nounourson	Velursi	童偶熊	Stufful	Stufful
0760	이븐곰	キテルグマ	Bewear	Chelours	Kosturso	穿著熊	Bewear	Bewear
0761	달콤아	アマカジ	Bounsweet	Croquine	Frubberl	甜竹竹	Bounsweet	Bounsweet
0762	달무리나	アママイコ	Steenee	Candine	Frubaila	甜舞妮	Steenee	Steenee
0763	달코퀸	アマージョ	Tsareena	Sucreine	Fruyal	甜冷美后	Tsareena	Tsareena
0764	큐아링	キュワワー	Comfey	Guérilande	Curelei	花療環環	Comfey	Comfey
0765	하랑우탄	ヤレユータン	Oranguru	Gouroutan	Kommandutan	智揮猩	Oranguru	Oranguru
0766	내던숭이	ナゲツケサル	Passimian	Quartermac	Quartermak	投擲猴	Passimian	Passimian
0767	꼬시레	コソクムシ	Wimpod	Sovkipou	Reißlaus	膽小蟲	Wimpod	Wimpod
0768	갑주무사	グソクムシャ	Golisopod	Sarmuraï	Tectass	具甲武者	Golisopod	Golisopod
0769	모래꿍	スナバァ	Sandygast	Bacabouh	Sankabuh	沙丘娃	Sandygast	Sandygast
0770	모래성이당	シロデスナ	Palossand	Trépassable	Colossand	噬沙堡爺	Palossand	Palossand
0771	해무기	ナマコブシ	Pyukumuku	Concombaffe	Gufa	拳海參	Pyukumuku	Pyukumuku
0772	타입:널	タイプ：ヌル	Type: Null	Type:0	Typ:Null	屬性：空	Código Cero	Tipo Zero
0773	실버디	シルヴァディ	Silvally	Silvallié	Amigento	銀伴戰獸	Silvally	Silvally
0774	메테노	メテノ	Minior	Météno	Meteno	小隕星	Minior	Minior
0775	자말라	ネッコアラ	Komala	Dodoala	Koalelu	樹枕尾熊	Komala	Komala
0776	폭거북스	バクガメス	Turtonator	Boumata	Tortunator	爆焰龜獸	Turtonator	Turtonator
0777	토게데마루	トゲデマル	Togedemaru	Togedemaru	Togedemaru	托戈德瑪爾	Togedemaru	Togedemaru
0778	따라큐	ミミッキュ	Mimikyu	Mimiqui	Mimigma	謎擬Ｑ	Mimikyu	Mimikyu
0779	치갈기	ハギギシリ	Bruxish	Denticrisse	Knirfish	磨牙彩皮魚	Bruxish	Bruxish
0780	할비롱	ジジーロン	Drampa	Draïeul	Sen-Long	老翁龍	Drampa	Drampa
0781	타타륜	ダダリン	Dhelmise	Sinistrail	Moruda	破破舵輪	Dhelmise	Dhelmise
0782	짜랑꼬	ジャラコ	Jangmo-o	Bébécaille	Miniras	心鱗寶	Jangmo-o	Jangmo-o
0783	짜랑고우	ジャランゴ	Hakamo-o	Écaïd	Mediras	鱗甲龍	Hakamo-o	Hakamo-o
0784	짜랑고우거	ジャラランガ	Kommo-o	Ékaïser	Grandiras	杖尾鱗甲龍	Kommo-o	Kommo-o
0785	카푸꼬꼬꼭	カプ・コケコ	Tapu Koko	Tokorico	Kapu-Riki	卡璞・鳴鳴	Tapu Koko	Tapu Koko
0786	카푸나비나	カプ・テテフ	Tapu Lele	Tokopiyon	Kapu-Fala	卡璞・蝶蝶	Tapu Lele	Tapu Lele
0787	카푸브루루	カプ・ブルル	Tapu Bulu	Tokotoro	Kapu-Toro	卡璞・哞哞	Tapu Bulu	Tapu Bulu
0788	카푸느지느	カプ・レヒレ	Tapu Fini	Tokopisco	Kapu-Kime	卡璞・鰭鰭	Tapu Fini	Tapu Fini
0789	코스모그	コスモッグ	Cosmog	Cosmog	Cosmog	科斯莫古	Cosmog	Cosmog
0790	코스모움	コスモウム	Cosmoem	Cosmovum	Cosmovum	科斯莫姆	Cosmoem	Cosmoem
0791	솔가레오	ソルガレオ	Solgaleo	Solgaleo	Solgaleo	索爾迦雷歐	Solgaleo	Solgaleo
0792	루나아라	ルナアーラ	Lunala	Lunala	Lunala	露奈雅拉	Lunala	Lunala
0793	텅비드	ウツロイド	Nihilego	Zéroïd	Anego	虛吾伊德	Nihilego	Nihilego
0794	매시붕	マッシブーン	Buzzwole	Mouscoto	Masskito	爆肌蚊	Buzzwole	Buzzwole
0795	페로코체	フェローチェ	Pheromosa	Cancrelove	Schabelle	費洛美螂	Pheromosa	Pheromosa
0796	전수목	デンジュモク	Xurkitree	Câblifère	Voltriant	電束木	Xurkitree	Xurkitree
0797	철화구야	テッカグヤ	Celesteela	Bamboiselle	Kaguron	鐵火輝夜	Celesteela	Celesteela
0798	종이신도	カミツルギ	Kartana	Katagami	Katagami	紙御劍	Kartana	Kartana
0799	악식킹	アクジキング	Guzzlord	Engloutyran	Schlingking	惡食大王	Guzzlord	Guzzlord
0800	네크로즈마	ネクロズマ	Necrozma	Necrozma	Necrozma	奈克洛茲瑪	Necrozma	Necrozma
0801	마기아나	マギアナ	Magearna	Magearna	Magearna	瑪機雅娜	Magearna	Magearna
0802	마샤도	マーシャドー	Marshadow	Marshadow	Marshadow	瑪夏多	Marshadow	Marshadow
0803	베베놈	ベベノム	Poipole	Vémini	Venicro	毒貝比	Poipole	Poipole
0804	아고용	アーゴヨン	Naganadel	Mandrillon	Agoyon	四顎針龍	Naganadel	Naganadel
0805	차곡차곡	ツンデツンデ	Stakataka	Ama-Ama	Muramura	壘磊石	Stakataka	Stakataka
0806	두파팡	ズガドーン	Blacephalon	Pierroteknik	Kopplosio	砰頭小丑	Blacephalon	Blacephalon
0807	제라오라	ゼラオラ	Zeraora	Zeraora	Zeraora	捷拉奧拉	Zeraora	Zeraora
0808	멜탄	メルタン	Meltan	Meltan	Meltan	美录坦	Meltan	Meltan
0809	멜메탈	メルメタル	Melmetal	Melmetal	Melmatal	美录梅塔 	Melmetal	Melmetal
0810	흥나숭	サルノリ	Grookey	Ouistempo	Chimpep	敲音猴	Grookey	Grookey
0811	채키몽	バチンキー	Thwackey	Badabouin	Chimstix	啪咚猴	Thwackey	Thwackey
0812	고릴타	ゴリランダー	Rillaboom	Gorythmic	Gortrom	轟擂金剛猩	Rillaboom	Rillaboom
0813	염버니	ヒバニー	Scorbunny	Flambino	Hopplo	炎兔兒	Scorbunny	Scorbunny
0814	래비풋	ラビフット	Raboot	Lapyro	Kickerlo	騰蹴小將	Raboot	Raboot
0815	에이스번	エースバーン	Cinderace	Pyrobut	Liberlo	閃焰王牌	Cinderace	Cinderace
0816	울머기	メッソン	Sobble	Larméléon	Memmeon	淚眼蜥	Sobble	Sobble
0817	누겔레온	ジメレオン	Drizzile	Arrozard	Phlegleon	變澀蜥	Drizzile	Drizzile
0818	인텔리레온	インテレオン	Inteleon	Lézargus	Intelleon	千面避役	Inteleon	Inteleon
0819	탐리스	ホシガリス	Skwovet	Rongourmand	Raffel	貪心栗鼠	Skwovet	Skwovet
0820	요씽리스	ヨクバリス	Greedent	Rongrigou	Schlaraffel	藏飽栗鼠	Greedent	Greedent
